real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=1_member=132_pso,57304.503626208781498,57304.503626208781498,58885.563684978464153,58885.563684978464153,57062.690952868302702,57062.690952868302702,52693.06515000219224,52693.06515000219224,57304.503626208781498,57304.503626208781498,58885.563684978464153,58885.563684978464153,57062.690952868302702,57062.690952868302702,52693.06515000219224,52693.06515000219224,251326.60803090778063,251326.60803090778063,421573.08329546183813,421573.08329546183813,137098.6685762166162,137098.6685762166162,52693.06515000219224,52693.06515000219224
gen=1_member=133_pso,46871.282386183724157,46871.282386183724157,25850.483369947043684,25850.483369947043684,53662.018352264800342,53662.018352264800342,23320.243365103833639,23320.243365103833639,46871.282386183724157,46871.282386183724157,25850.483369947043684,25850.483369947043684,53662.018352264800342,53662.018352264800342,23320.243365103833639,23320.243365103833639,46871.282386183724157,46871.282386183724157,264154.2005669081118,264154.2005669081118,53662.018352264800342,53662.018352264800342,23320.243365103833639,23320.243365103833639
gen=1_member=134_pso,43586.362955001954106,43586.362955001954106,51872.82601829682244,51872.82601829682244,66280.466229656987707,66280.466229656987707,46331.459103054745356,46331.459103054745356,43586.362955001954106,43586.362955001954106,51872.82601829682244,51872.82601829682244,66280.466229656987707,66280.466229656987707,46331.459103054745356,46331.459103054745356,414386.31057076196885,414386.31057076196885,269955.87547517893836,269955.87547517893836,98472.201161180899362,98472.201161180899362,46331.459103054745356,46331.459103054745356
gen=1_member=135_pso,75581.770992810721509,75581.770992810721509,102975.84185783704743,102975.84185783704743,76682.008199848089134,76682.008199848089134,117927.76153951704327,117927.76153951704327,75581.770992810721509,75581.770992810721509,102975.84185783704743,102975.84185783704743,76682.008199848089134,76682.008199848089134,117927.76153951704327,117927.76153951704327,217639.74472427385626,217639.74472427385626,184510.85599109707982,184510.85599109707982,379478.4574542271439,379478.4574542271439,418456.06672835774953,418456.06672835774953
gen=1_member=136_pso,64753.704480382570182,64753.704480382570182,75910.695723097582231,75910.695723097582231,76634.488355876281275,76634.488355876281275,93343.105134963043383,93343.105134963043383,64753.704480382570182,64753.704480382570182,75910.695723097582231,75910.695723097582231,76634.488355876281275,76634.488355876281275,93343.105134963043383,93343.105134963043383,471993.5646834821091,471993.5646834821091,604899.49851045268588,604899.49851045268588,390907.05701926024631,390907.05701926024631,93343.105134963043383,93343.105134963043383
gen=1_member=137_pso,40185.895116511208471,40185.895116511208471,63533.657003041138523,63533.657003041138523,50000,50000,16179.729797682575736,16179.729797682575736,40185.895116511208471,40185.895116511208471,63533.657003041138523,63533.657003041138523,50000,50000,16179.729797682575736,16179.729797682575736,481163.88299486460164,481163.88299486460164,462531.96026321838144,462531.96026321838144,252382.84941722336225,252382.84941722336225,16179.729797682575736,16179.729797682575736
gen=1_member=138_pso,26824.636178255168488,26824.636178255168488,72664.576559961395105,72664.576559961395105,37446.148426468520483,37446.148426468520483,41361.381168837644509,41361.381168837644509,26824.636178255168488,26824.636178255168488,72664.576559961395105,72664.576559961395105,37446.148426468520483,37446.148426468520483,41361.381168837644509,41361.381168837644509,395430.62183716334403,395430.62183716334403,692367.78137989365496,692367.78137989365496,251747.50655469860067,251747.50655469860067,504137.11670474015409,504137.11670474015409
gen=1_member=139_pso,50000,50000,50000,50000,31303.310825466396636,31303.310825466396636,34394.530428506906901,34394.530428506906901,50000,50000,50000,50000,31303.310825466396636,31303.310825466396636,34394.530428506906901,34394.530428506906901,390639.43896858987864,390639.43896858987864,146436.13080942153465,146436.13080942153465,792996.07548092328943,792996.07548092328943,34394.530428506906901,34394.530428506906901
gen=1_member=140_pso,62497.701636591315037,62497.701636591315037,70172.311404925261741,70172.311404925261741,91350.968557042375323,91350.968557042375323,91350.968557042375323,91350.968557042375323,62497.701636591315037,62497.701636591315037,70172.311404925261741,70172.311404925261741,91350.968557042375323,91350.968557042375323,91350.968557042375323,91350.968557042375323,619012.25812591589056,619012.25812591589056,70172.311404925261741,70172.311404925261741,636875.93289567751344,636875.93289567751344,91350.968557042375323,91350.968557042375323
gen=1_member=141_pso,16846.407315076230589,16846.407315076230589,75688.913069268106483,75688.913069268106483,58436.484604902565479,58436.484604902565479,45831.996186364864116,45831.996186364864116,16846.407315076230589,16846.407315076230589,75688.913069268106483,75688.913069268106483,58436.484604902565479,58436.484604902565479,45831.996186364864116,45831.996186364864116,16846.407315076230589,16846.407315076230589,493434.83176889753668,493434.83176889753668,336691.14657680573873,336691.14657680573873,45831.996186364864116,45831.996186364864116
